Data;ipca;BM;M1;M2;ln_BM;ln_M1;ln_M2
out/19;0,1;283.725.360;385.908.524;2.966.159.632;19,46351729;19,77111091;21,8105339
nov/19;0,51;289.250.788;391.760.160;3.006.693.123;19,48280465;19,78616037;21,82410668
dez/19;1,15;315.031.079;433.418.158;3.099.422.442;19,56818186;19,88721354;21,85448162
jan/20;0,21;309.794.865;408.454.118;3.032.056.110;19,55142091;19,82789015;21,83250681
fev/20;0,25;302.521.740;408.932.481;3.043.035.747;19,5276637;19,82906062;21,83612146
mar/20;0,07;299.183.977;416.408.470;3.209.501.552;19,51656925;19,84717724;21,88938148
abr/20;-0,31;315.351.135;448.803.837;3.392.853.533;19,56919729;19,92209646;21,94493715
mai/20;-0,38;354.968.825;484.120.149;3.538.699.264;19,68754053;19,99784368;21,98702506
jun/20;0,26;374.594.200;514.451.009;3.633.595.533;19,74135386;20,05861089;22,0134885
jul/20;0,36;391.972.486;533.014.391;3.718.433.395;19,78670221;20,09405898;22,03656829
ago/20;0,24;400.306.446;546.062.801;3.757.567.018;19,80774093;20,11824455;22,04703752
set/20;0,64;407.541.550;565.746.786;3.842.696.583;19,82565345;20,15365716;22,06944019
out/20;0,86;412.083.255;579.454.938;3.892.841.631;19,83673596;20,17759846;22,08240522
nov/20;0,89;415.484.637;584.084.142;3.922.090.546;19,8449562;20,18555561;22,08989065
dez/20;1,35;428.351.152;619.777.029;3.998.221.163;19,87545387;20,24487034;22,10911539
jan/21;0,25;433.440.319;592.242.390;3.886.076.220;19,88726467;20,19942655;22,0806658
fev/21;0,86;418.386.143;581.066.612;3.883.410.796;19,85191535;20,18037596;22,07997968
mar/21;0,93;407.067.483;578.967.966;3.935.393.883;19,82448954;20,17675771;22,09327681
abr/21;0,31;402.056.149;582.626.374;3.941.404.119;19,81210231;20,18305667;22,09480287
mai/21;0,83;400.492.834;582.202.651;3.959.086.827;19,80820643;20,18232914;22,09927924
jun/21;0,53;402.914.464;594.844.001;4.061.317.241;19,81423485;20,20380975;22,1247732
jul/21;0,96;409.819.792;627.901.673;4.111.578.695;19,83122809;20,25789414;22,1370729
ago/21;0,87;412.689.327;623.976.385;4.150.515.916;19,83820563;20,25162308;22,14649848
set/21;1,16;409.472.596;614.143.783;4.195.671.424;19,83038054;20,23573963;22,15731922
out/21;1,25;403.592.971;604.397.556;4.177.585.149;19,81591743;20,21974274;22,1529992
nov/21;0,95;399.463.622;599.668.025;4.187.267.597;19,80563326;20,21188677;22,15531423
dez/21;0,73;406.997.942;621.391.736;4.320.167.468;19,82431869;20,24747226;22,18656
jan/22;0,54;408.685.827;596.517.645;4.206.294.859;19,82845727;20,20661938;22,15984802
fev/22;1,01;394.010.779;590.881.954;4.270.965.320;19,79188882;20,19712682;22,17510571
mar/22;1,62;391.055.272;592.942.148;4.370.943.102;19,78435947;20,20060739;22,19824464
abr/22;1,06;387.964.969;599.813.109;4.437.056.510;19,77642561;20,21212868;22,21325705
mai/22;0,47;392.180.718;597.297.282;4.528.401.923;19,78723331;20,20792551;22,23363494
jun/22;0,67;396.583.898;601.904.463;4.627.983.191;19,79839817;20,21560929;22,25538701
jul/22;-0,68;395.335.201;598.357.971;4.689.343.288;19,79524457;20,20969975;22,26855839
ago/22;-0,36;391.342.492;597.174.595;4.778.941.120;19,78509367;20,20772008;22,28748484
set/22;-0,29;390.140.792;593.585.625;4.860.082.436;19,78201824;20,20169203;22,30432124
out/22;0,59;393.177.079;588.696.043;4.865.558.637;19,78977065;20,19342055;22,30544737
nov/22;0,41;394.384.849;588.524.647;4.960.885.500;19,79283776;20,19312936;22,32485009
